      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
        76;         2298.60477287;            0.16461620;            0.35747014;            2.00103389;          253.58295780;          724.02181848
        77;         2298.60421436;            0.16461620;            0.35747014;            2.00103392;          253.58295780;          724.02181848
        78;         2298.59754588;            0.16461620;            0.35747014;            2.00103389;          253.58296158;          724.02181848
        79;         2298.59754588;            0.16461620;            0.35747014;            2.00103389;          253.58296158;          724.02181848
        80;         2224.58781909;            0.17119749;            0.34868232;            1.91327055;          252.28915600;          710.21066477
        81;         2224.58781909;            0.17119749;            0.34868232;            1.91327055;          252.28915600;          710.21066477
        82;         2224.58781909;            0.17119749;            0.34868232;            1.91327055;          252.28915600;          710.21066477
        83;         2224.58553182;            0.17119749;            0.34868232;            1.91327058;          252.28915600;          710.21066477
        84;         2224.55870163;            0.17119749;            0.34868232;            1.91327055;          252.28915975;          710.21066477
        85;         2224.55870163;            0.17119749;            0.34868232;            1.91327055;          252.28915975;          710.21066477
        86;         1974.35211829;            0.17369114;            0.34540128;            1.88575637;          251.80956456;          705.43982268
        87;         1974.35211829;            0.17369114;            0.34540128;            1.88575637;          251.80956456;          705.43982268
        88;         1974.35211829;            0.17369114;            0.34540128;            1.88575637;          251.80956456;          705.43982268
        89;         1974.35184613;            0.17369114;            0.34540128;            1.88575639;          251.80956456;          705.43982268
        90;         1974.34862522;            0.17369114;            0.34540128;            1.88575637;          251.80956831;          705.43982268
        91;         1974.34862522;            0.17369114;            0.34540128;            1.88575637;          251.80956831;          705.43982268
        92;         1970.87163974;            0.17344993;            0.34565485;            1.88725834;          251.85121469;          705.85801989
        93;         1970.87163974;            0.17344993;            0.34565485;            1.88725834;          251.85121469;          705.85801989
        94;         1970.87163974;            0.17344993;            0.34565485;            1.88725834;          251.85121469;          705.85801989
        95;         1970.87163804;            0.17344993;            0.34565485;            1.88725837;          251.85121469;          705.85801989
        96;         1970.87162437;            0.17344993;            0.34565485;            1.88725834;          251.85121845;          705.85801989
        97;         1970.87162437;            0.17344993;            0.34565485;            1.88725834;          251.85121845;          705.85801989
        98;         1970.86998610;            0.17347546;            0.34561962;            1.88698164;          251.84547866;          705.80481060
        99;         1970.86998610;            0.17347546;            0.34561962;            1.88698164;          251.84547866;          705.80481060
       100;         1970.86998610;            0.17347546;            0.34561962;            1.88698164;          251.84547866;          705.80481060
       101;         1970.86998607;            0.17347546;            0.34561962;            1.88698167;          251.84547866;          705.80481060
       102;         1970.86998607;            0.17347546;            0.34561962;            1.88698167;          251.84547866;          705.80481060
