Element;Node-1;Node-2;Node-3;Node-4
911;807;271;811;1228
912;788;807;1228;1237
913;824;98;401;447
914;89;1185;809;824
915;185;1371;1362;969
916;811;271;1177;874
917;1228;811;1199;260
918;812;816;144;844
919;832;813;850;866
920;783;793;216;1349
921;815;855;1305;842
922;755;126;1323;117
923;818;836;1263;895
924;1188;857;1224;884
925;94;1258;95;835
926;784;237;737;750
927;1352;823;867;217
928;260;1199;1200;840
929;829;153;827;164
930;827;153;860;1298
931;1139;817;1310;837
932;1139;821;828;817
933;872;869;830;848
934;95;1258;830;869
935;739;117;831;864
936;831;117;1299;761
937;834;851;1230;857
938;1218;834;857;99
939;796;101;1284;852
940;870;907;1289;1314
941;1150;1263;836;1288
942;908;841;1356;1364
943;249;1262;840;863
944;165;881;841;908
945;856;842;1305;1309
946;843;143;859;1359
947;1359;859;878;1360
948;145;907;870;844
949;884;889;845;1188
950;846;1289;907;911
951;894;871;128;974
952;869;872;96;1230
953;1199;849;261;1200
954;218;833;217;867
955;852;728;1281;94
956;186;933;854;876
957;928;854;933;935
958;614;897;1235;132
959;1305;855;883;1309
960;900;877;1333;142
961;1142;1332;880;865
962;861;858;144;843
963;924;1339;1351;905
964;859;143;856;1332
965;152;1298;860;887
966;155;905;861;1360
967;261;1203;862;1200
968;882;888;1250;863
969;153;829;865;880
970;196;832;866;1372
971;893;868;208;916
972;893;1365;917;868
973;872;848;111;915
974;1194;915;890;97
975;873;118;913;904
976;898;875;1203;1201
977;909;925;251;948
978;1280;900;142;930
979;1142;878;859;1332
980;943;154;903;922
981;1250;888;238;879
982;154;1142;865;903
983;877;880;1332;856
984;882;250;1249;1252
985;888;882;1252;239
986;1235;926;883;855
987;915;1194;96;872
988;97;889;884;1194
989;885;272;1179;910
990;218;867;886;906
991;891;239;1268;892
992;889;97;1174;402
993;967;981;1268;932
994;1344;1365;956;972
995;913;918;119;914
996;895;1263;937;927
997;948;1267;932;896
998;925;898;262;951
999;261;885;1201;1203
1000;1135;899;934;1226
1001;1333;877;856;1309
1002;930;142;883;926
1003;901;1369;1372;866
1004;929;901;197;945
1005;943;922;166;942
1006;904;913;914;1206
1007;848;904;1206;111
1008;905;155;919;924
1009;1322;145;1339;912
1010;1322;1293;907;145
1011;908;1364;944;165
1012;250;875;909;1249
1013;920;273;977;262
1014;1293;949;911;907
1015;939;912;1339;924
1016;954;146;912;939
1017;913;118;1259;918
1018;1206;914;958;940
1019;984;958;914;119
1020;218;906;955;916
1021;1348;960;1344;198
1022;119;918;894;974
1023;942;1346;155;1355
1024;1345;1346;1002;156
1025;920;262;898;1201
1026;1156;141;615;593
1027;923;1343;1342;1030
1028;229;1007;1030;1342
1029;858;1351;1339;145
1030;922;952;978;166
1031;137;938;927;937
1032;128;871;927;938
1033;1368;935;933;1367
1034;196;1372;1369;931
1035;240;967;932;1267
1036;896;932;1268;239
1037;970;1016;177;953
1038;928;935;953;176
1039;112;1176;936;940
1040;949;989;136;911
1041;988;973;938;137
1042;954;939;1340;1294
1043;615;141;1280;930
1044;997;959;166;978
1045;944;953;177;952
1046;945;197;960;1348
1047;1369;946;1363;931
1048;901;929;946;1369
1049;947;195;745;1141
1050;948;251;964;1267
1051;1243;976;961;975
1052;956;950;219;1005
1053;950;956;1365;893
1054;925;951;966;251
1055;954;1294;1265;975
1056;923;955;906;1343
1057;209;972;986;1040
1058;120;1138;958;984
1059;1163;198;1344;972
1060;969;186;876;810
1061;1371;185;968;1353
1062;975;961;146;954
1063;147;996;976;1243
1064;985;187;1016;970
1065;929;962;1368;1367
1066;1189;963;1229;1222
1067;1267;964;982;240
1068;964;251;966;992
1069;1242;979;252;1253
1070;967;240;980;1321
1071;981;967;1321;902
1072;185;969;810;711
1073;1348;1347;971;945
1074;962;971;187;985
1075;1295;1294;1340;156
1076;1163;972;209;1013
1077;138;1147;973;988
1078;984;119;974;987
1079;1003;994;1265;157
1080;989;137;937;136
1081;961;976;989;949
1082;997;1361;1009;1354
1083;979;263;1032;252
1084;240;982;991;980
1085;1010;991;982;241
1086;97;890;983;1174
1087;985;970;1368;962
1088;1012;198;1163;199
1089;986;220;1057;1040
1090;1354;1009;178;1038
1091;274;993;999;1018
1092;158;1004;994;1003
1093;147;1243;994;1004
1094;1370;1341;995;1037
1095;996;147;1008;1017
1096;1017;1008;148;1148
1097;1354;167;959;997
1098;998;187;971;1347
1099;1000;993;274;1043
1100;1015;1031;1187;264
1101;1345;156;1340;919
1102;959;167;1002;1346
1103;1003;157;1046;1021
1104;219;923;1030;1014
1105;188;1016;187;998
1106;1027;1006;1016;188
1107;229;1341;1370;1007
1108;1038;1026;167;1354
1109;1019;1011;1253;252
1110;1035;1022;1279;1256
1111;1028;1006;1027;1328
1112;1149;1012;199;1122
1113;1041;1029;210;1078
1114;199;1163;1013;1144
1115;1005;219;1014;1357
1116;1032;1015;1042;1045
1117;252;1032;1045;1019
1118;1022;1035;242;1047
1119;1020;1022;1047;1049
1120;1046;157;1025;1300
1121;1021;1044;169;1034
1122;178;1009;1361;1028
1123;1023;1002;167;1026
1124;1023;1026;1300;1025
1125;1038;1327;1326;1026
1126;1328;1027;188;1060
1127;179;1039;1053;1095
1128;1014;1030;1007;1370
1129;1031;275;1181;1187
1130;1042;1015;264;1225
1131;1033;408;455;148
1132;1035;1256;1255;253
1133;1064;1035;253;1052
1134;230;1056;1037;995
1135;1327;1337;1317;1048
1136;1053;178;1028;1328
1137;1055;1040;1057;221
1138;200;1266;1144;1303
1139;275;1031;1043;1051
1140;1054;1066;1044;168
1141;1286;1047;242;1287
1142;1050;1049;1047;1286
1143;1054;1076;180;1066
1144;1056;230;1061;1067
1145;1065;1050;1075;1254
1146;169;1062;1155;1034
1147;1087;179;1095;1107
1148;1044;1066;1069;169
1149;1058;1055;221;1090
1150;210;1029;1055;1058
1151;1067;1061;231;1077
1152;1037;1056;220;1357
1153;222;1090;1085;1093
1154;1092;242;1035;1064
1155;1095;1060;189;1107
1156;1077;231;1074;1085
1157;1069;1152;1062;169
1158;254;1271;1073;1247
1159;1270;1092;1064;1081
1160;1085;1074;232;1093
1161;1069;1066;180;1082
